"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","cutoff"
"501","MDP","MDP-KC3","MDP-KC3_wholeProject.csv","14","69","95","22","0.235294117647059","0.465360391882435","0.420731707317073","0.599622285174693","0.415","0.388888888888889","-0.0248286266374139","14","0.00619137551148883","2.93894688286038","0.0792241107963488","0.07","0.0884482215926975","0.0786852941246891",0.937081659973227,0.766568790319704,0.779583437759442,60
"502","MDP","MDP-MC1","MDP-MC1_wholeProject.csv","45","2423","6786","23","0.0354889589905363","0.697308794969019","0.263112172874362","0.599367805405771","0.266034278322734","0.661764705882353","0.076955732434674","68","0.000254372103433196","0.920266805294083","0.0210165220460873","0.00732995580467824","0.0347030882874964","0.0159490471011028",2.48751668414529,1.52938089317095,1.65725026055965,60
"503","MDP","MDP-MC2","MDP-MC2_wholeProject.csv","18","25","58","26","0.413793103448276","0.516065249629263","0.301204819277108","0.570220941402498","0.338582677165354","0.409090909090909","0.108481820956454","0","0","5.45269609626302","0","0","0","0",1.20824524312896,0.900284507527774,0.931034726432221,60
"504","MDP","MDP-MW1","MDP-MW1_wholeProject.csv","18","75","162","9","0.3","0.675","0.316455696202532","0.596665691722726","0.352272727272727","0.666666666666667","0.22214997667502","0","0","4.04709978310153","0","0","0","0",1.89247311827957,1.40507888251042,1.45413154813461,60
"505","MDP","MDP-PC1","MDP-PC1_wholeProject.csv","35","444","254","26","0.12962962962963","0.445346157699629","0.636103151862464","0.599146928033397","0.631093544137022","0.573770491803279","-0.0351205668887678","2","8.25021244297041e-06","2.32760547731934","0.00288300086770713","0.00263504611330698","0.00313095562210727","0.00287231830460526",0.909168691604779,0.932777785778775,0.933092442935759,60
"506","MDP","MDP-PC2","MDP-PC2_wholeProject.csv","15","656","913","1","0.0436681222707424","0.718087198175288","0.418100701083493","0.596529968454259","0.423343848580442","0.9375","0.105084452112083","3","1.49270069360826e-05","10.0915395249093","0.00488958990536278","0.00189274447949527","0.00788643533123028","0.00386354849019429",2.21451192250372,1.8384627281163,1.86555697129912,60
"507","MDP","MDP-PC3","MDP-PC3_wholeProject.csv","68","238","747","72","0.304932735426009","0.592166006062019","0.241624365482234","0.599291237113402","0.272","0.485714285714286","0.181062834314823","126","0.0340438144329897","1.85099683797103","0.20798131443299","0.112","0.303962628865979","0.18450965945714",1.78571428571429,1.11492980768052,1.20303278059025,60
"508","MDP","MDP-PC4","MDP-PC4_wholeProject.csv","70","405","816","108","0.214395099540582","0.495149923282969","0.331695331695332","0.597294292068199","0.339528234453181","0.393258426966292","0.0433216999314667","27","0.00094780715442726","3.27076124728216","0.0342049759147035","0.0192994996426019","0.049110452186805","0.0307864768108866",1.15824955647546,0.839558007697666,0.8732647057621,60
"509","MDP","MDP-PC5","MDP-PC5_wholeProject.csv","300","815","15683","203","0.370828182941904","0.732967548009421","0.0493999272639108","0.597077543468772","0.0655843773895653","0.596421471172962","0.374420277054788","0","0","5.51913933108316","0","0","0","0",9.09395644072783,1.80007769391796,3.01396150410376,60
"510","NETGENE","NETGENE-httpclient","NETGENE-httpclient_wholeProject.csv","48","9","46","48","0.627450980392157","0.625850340136054","0.163636363636364","0.598020750199521","0.377483443708609","0.5","0.333906324854544","0","0","1.20170864409309","0","0","0","0",1.32456140350877,1.02511091827677,1.05235658613078,60
"511","NETGENE","NETGENE-jackrabbit","NETGENE-jackrabbit_wholeProject.csv","85","34","121","49","0.671936758893281","0.699921739426316","0.219354838709677","0.596548929383775","0.411764705882353","0.634328358208955","0.420475495530107","0","0","0.837572922362694","0","0","0","0",1.54051172707889,1.25819652937954,1.27987198435936,60
"512","NETGENE","NETGENE-lucene","NETGENE-lucene_wholeProject.csv","87","424","267","122","0.241666666666667","0.400776397515528","0.613603473227207","0.599152932596902","0.567777777777778","0.416267942583732","-0.168202406048882","0","0","0.0836066730487048","0","0","0","0",0.733152932143559,0.713440719115321,0.713698734175829,60
