"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3","cutoff","roi"
"742","Amasaki15","Amasaki15-NB","ALLJURECZKO-velocity-1.4.csv",34,15,34,113,0.346938775510204,0.346938775510204,0.306122448979592,0.797942490282908,0.25,0.231292517006803,-0.0748299319727891,3,0.00636035939330773,0.465719568886742,0.215424801405876,0.0153061224489796,0.415543480362771,0.079751861378326,0.441422156561973,0.517852148080743,80,0.925170068027212
"743","Amasaki15","Amasaki15-NB","ALLJURECZKO-velocity-1.5.csv",44,9,63,98,0.451282051282051,0.457652303120357,0.125,0.799345138405374,0.247663551401869,0.309859154929577,0.202348743033426,0,0,0.5742856834888,0,0,0,0,0.591894141750863,0.696411790083736,80,1.25112941801754
"744","Amasaki15","Amasaki15-NB","ALLJURECZKO-velocity-1.6.csv",29,26,125,49,0.43609022556391,0.513129025408734,0.172185430463576,0.79763909352417,0.240174672489083,0.371794871794872,0.221442453816176,0,0,0.354705693648292,0,0,0,0,0.716496319417918,0.849447565485123,80,1.54801864801865
"745","Amasaki15","Amasaki15-NB","ALLJURECZKO-workflow.csv",10,5,14,10,0.571428571428572,0.595744680851064,0.263157894736842,0.788606060606061,0.384615384615385,0.5,0.243332131696144,0,0,2.35326788253091,0,0,0,0,0.852354007057252,0.907876183104697,80,1.3
"746","Amasaki15","Amasaki15-NB","ALLJURECZKO-wspomaganiepi.csv",11,2,4,1,0.88,0.771929824561404,0.333333333333333,0.791908531222515,0.722222222222222,0.916666666666667,0.61394061351492,0,0,1.83258730544812,0,0,0,0,1.21081572985846,1.21210014920023,80,1.26923076923077
"747","Amasaki15","Amasaki15-NB","ALLJURECZKO-xalan-2.4.csv",99,470,143,11,0.29160530191458,0.370519648769253,0.766721044045677,0.799993780210407,0.786998616874136,0.9,0.116915386107849,0,0,0.492508881105745,0,0,0,0,1.1342209347107,1.13425896269422,80,1.14358523725835
"748","Amasaki15","Amasaki15-NB","ALLJURECZKO-xalan-2.5.csv",343,325,91,44,0.650236966824644,0.350895140664962,0.78125,0.799963917863938,0.831880448318804,0.886304909560723,0.140366472374538,0,0,0.93034634492135,0,0,0,0,1.08626156749739,1.08646939495118,80,1.06542341673243
"749","Amasaki15","Amasaki15-NB","ALLJURECZKO-xalan-2.6.csv",362,324,150,49,0.659981768459435,0.465618809970931,0.683544303797468,0.79995725426668,0.775141242937853,0.880778588807786,0.235615520950665,0,0,0.796827572343651,0,0,0,0,1.11837906057428,1.11851789220231,80,1.13628141559022
"750","Amasaki15","Amasaki15-NB","ALLJURECZKO-xalan-2.7.csv",716,3,8,182,0.885590599876314,0.760690571049137,0.272727272727273,0.799988332886094,0.790979097909791,0.797327394209354,0.141065772692955,0,0,1.19947050555692,0,0,0,0,1.00231768265739,1.00233375351641,80,1.00802587112142
"751","Amasaki15","Amasaki15-NB","ALLJURECZKO-xerces-1.0.csv",29,33,52,48,0.41726618705036,0.466223527593137,0.388235294117647,0.798683833417844,0.382716049382716,0.376623376623377,-0.0119306174945279,0,0,0.269281853543445,0,0,0,0,0.637588308762271,0.681210743025349,80,0.98408043569334
"752","Amasaki15","Amasaki15-NB","ALLJURECZKO-xerces-1.2.csv",37,259,110,34,0.201634877384196,0.37925732656199,0.70189701897019,0.799942230650407,0.672727272727273,0.52112676056338,-0.14172361929976,1,9.47171870665158e-05,0.195420780323794,0.0219741447909971,0.00227272727272727,0.041675562309267,0.00973227553383667,0.707730769691551,0.710386248213814,80,0.774647887323943
"753","Amasaki15","Amasaki15-NB","ALLJURECZKO-xerces-1.3.csv",64,292,92,5,0.301176470588235,0.380804553097917,0.760416666666667,0.799988030760944,0.785871964679912,0.927536231884058,0.146388374546747,0,0,0.347352020443881,0,0,0,0,1.16975802977641,1.16980437335063,80,1.18026380068393
